date,bank,description,amount,bank_balance,category,type
2025-10-01,HDFC,SALARY CREDIT ACME TECH,98000.0,140000.0,Income,Income
2025-10-02,HDFC,IMPS TO SBI HOME,-18000.0,122000.0,Transfer,Transfer
2025-10-02,ICICI,AJIO,-1268.0,24732.0,Utilities,Expense
2025-10-02,SBI,DMART READY,-707.0,17293.0,Food,Expense
2025-10-02,SBI,IMPS FROM HDFC HOME,18000.0,35293.0,Food,Transfer
2025-10-03,HDFC,BLINKIT MART,-1077.0,120923.0,Food,Expense
2025-10-03,HDFC,IMPS TO ICICI LIFE,-12000.0,108923.0,Transfer,Transfer
2025-10-03,ICICI,IMPS FROM HDFC LIFE,12000.0,36732.0,Shopping,Transfer
2025-10-04,HDFC,FASTAG RECHARGE,-381.0,108542.0,Transport,Expense
2025-10-04,SBI,INOX MOVIES,-969.0,34324.0,Entertainment,Expense
2025-10-05,HDFC,HOUSE RENT TRANSFER,-22000.0,86542.0,Rent,Transfer
2025-10-05,SBI,DMART READY,-1032.0,33292.0,Food,Expense
2025-10-06,HDFC,ZOMATO,-389.0,86153.0,Food,Expense
2025-10-06,ICICI,MYNTRA,-2610.0,34122.0,Shopping,Expense
2025-10-06,SBI,BIGBASKET,-1912.0,31380.0,Food,Expense
2025-10-07,HDFC,STARBUCKS INDIA,-941.0,85212.0,Food,Expense
2025-10-07,ICICI,FLIPKART,-2412.0,31710.0,Shopping,Expense
2025-10-07,SBI,DMART READY,-1914.0,29466.0,Food,Expense
2025-10-08,HDFC,HDFC BANK EMI,-6500.0,78712.0,EMI,Expense
2025-10-08,ICICI,MYNTRA,-3183.0,28527.0,Shopping,Expense
2025-10-08,SBI,DMART READY,-1401.0,28065.0,Food,Expense
2025-10-09,ICICI,FLIPKART,-475.0,28052.0,Shopping,Expense
2025-10-09,SBI,RELIANCE FRESH,-785.0,27280.0,Food,Expense
2025-10-10,HDFC,UBER TRIP,-390.0,78322.0,Transport,Expense
2025-10-10,SBI,BESCOM ELECTRICITY,-2150.0,25130.0,Utilities,Expense
2025-10-11,HDFC,BLINKIT MART,-321.0,78001.0,Food,Expense
2025-10-11,ICICI,APOLLO PHARMACY,-854.0,27198.0,Health,Expense
2025-10-11,ICICI,GROWW SIP EQUITY,-5000.0,22198.0,Investment,Investment
2025-10-11,ICICI,MYNTRA,-3044.0,19154.0,Shopping,Expense
2025-10-11,SBI,DMART READY,-415.0,24715.0,Food,Expense
2025-10-12,HDFC,NETFLIX INDIA,-649.0,77352.0,Subscriptions,Expense
2025-10-12,ICICI,AJIO,-965.0,18189.0,Utilities,Expense
2025-10-13,HDFC,FASTAG RECHARGE,-395.0,76957.0,Transport,Expense
2025-10-13,HDFC,SPOTIFY PREMIUM,-119.0,76838.0,Subscriptions,Expense
2025-10-13,HDFC,STARBUCKS INDIA,-354.0,76484.0,Food,Expense
2025-10-13,SBI,BIGBASKET,-516.0,24199.0,Food,Expense
2025-10-14,HDFC,BLINKIT MART,-796.0,75688.0,Food,Expense
2025-10-14,ICICI,AJIO,-912.0,17277.0,Utilities,Expense
2025-10-14,SBI,AIRTEL BROADBAND,-1199.0,23000.0,Utilities,Expense
2025-10-15,ICICI,FLIPKART,-3414.0,13863.0,Shopping,Expense
2025-10-16,HDFC,STARBUCKS INDIA,-945.0,74743.0,Food,Expense
2025-10-16,ICICI,APOLLO PHARMACY,-906.0,12957.0,Health,Expense
2025-10-16,ICICI,MYNTRA,-3238.0,9719.0,Shopping,Expense
2025-10-17,HDFC,STARBUCKS INDIA,-445.0,74298.0,Food,Expense
2025-10-17,SBI,PNG GAS BILL,-860.0,22140.0,Utilities,Expense
2025-10-18,HDFC,FASTAG RECHARGE,-576.0,73722.0,Transport,Expense
2025-10-18,HDFC,STARBUCKS INDIA,-363.0,73359.0,Food,Expense
2025-10-18,SBI,ATM CASH WITHDRAWAL,-860.0,21280.0,Food,Expense
2025-10-18,SBI,BIGBASKET,-2034.0,19246.0,Food,Expense
2025-10-19,ICICI,ATM CASH WITHDRAWAL,-2891.0,6828.0,Shopping,Expense
2025-10-19,ICICI,DIGITAL GOLD PURCHASE,-1200.0,5628.0,Shopping,Expense
2025-10-19,SBI,BIGBASKET,-934.0,18312.0,Food,Expense
2025-10-19,SBI,BOOKMYSHOW,-692.0,17620.0,Entertainment,Expense
2025-10-20,HDFC,SWIGGY,-308.0,73051.0,Food,Expense
2025-10-20,HDFC,UBER TRIP,-507.0,72544.0,Transport,Expense
2025-10-20,SBI,BIGBASKET,-1126.0,16494.0,Food,Expense
2025-10-21,HDFC,GOOGLE ONE,-130.0,72414.0,Subscriptions,Expense
2025-10-21,HDFC,STARBUCKS INDIA,-700.0,71714.0,Food,Expense
2025-10-22,HDFC,BLINKIT MART,-689.0,71025.0,Food,Expense
2025-10-22,ICICI,MYNTRA,-1685.0,3943.0,Shopping,Expense
2025-10-23,HDFC,BLINKIT MART,-208.0,70817.0,Food,Expense
2025-10-24,HDFC,ZOMATO,-555.0,70262.0,Food,Expense
2025-10-24,SBI,BIGBASKET,-926.0,15568.0,Food,Expense
