Date,Narration,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/10/2023,SALARY CREDIT,0,70000.0,70000.0
04/10/2023,HOUSE RENT,25000.0,0,45000.0
15/10/2023,ZOMATO,1200.0,0,43800.0
01/11/2023,SALARY CREDIT,0,70000.0,113800.0
04/11/2023,HOUSE RENT,25000.0,0,88800.0
20/11/2023,CREDIT CARD SETTLEMENT,45000.0,0,43800.0
01/12/2023,SALARY CREDIT,0,70000.0,113800.0
04/12/2023,HOUSE RENT,25000.0,0,88800.0
28/12/2023,SWIGGY,1500.0,0,87300.0
01/01/2024,SALARY CREDIT,0,70000.0,157300.0
04/01/2024,HOUSE RENT,25000.0,0,132300.0
15/01/2024,FLIGHT BOOKING,42000.0,0,90300.0
01/02/2024,SALARY CREDIT,0,70000.0,160300.0
04/02/2024,HOUSE RENT,25000.0,0,135300.0
10/02/2024,GADGET STORE,55000.0,0,80300.0
01/03/2024,SALARY CREDIT,0,70000.0,150300.0
04/03/2024,HOUSE RENT,25000.0,0,125300.0
20/03/2024,ZOMATO,2200.0,0,123100.0
01/04/2024,SALARY CREDIT,0,70000.0,193100.0
04/04/2024,HOUSE RENT,25000.0,0,168100.0
15/04/2024,VACATION EXPENSES,80000.0,0,88100.0
