Transaction Date,Transaction Remarks,Debit Amount,Credit Amount,Available Balance
02/10/2025,AJIO,1268.0,0.0,24732.0
03/10/2025,IMPS FROM HDFC LIFE,0.0,12000.0,36732.0
06/10/2025,MYNTRA,2610.0,0.0,34122.0
07/10/2025,FLIPKART,2412.0,0.0,31710.0
08/10/2025,MYNTRA,3183.0,0.0,28527.0
09/10/2025,FLIPKART,475.0,0.0,28052.0
11/10/2025,APOLLO PHARMACY,854.0,0.0,27198.0
11/10/2025,GROWW SIP EQUITY,5000.0,0.0,22198.0
11/10/2025,MYNTRA,3044.0,0.0,19154.0
12/10/2025,AJIO,965.0,0.0,18189.0
14/10/2025,AJIO,912.0,0.0,17277.0
15/10/2025,FLIPKART,3414.0,0.0,13863.0
16/10/2025,APOLLO PHARMACY,906.0,0.0,12957.0
16/10/2025,MYNTRA,3238.0,0.0,9719.0
19/10/2025,ATM CASH WITHDRAWAL,2891.0,0.0,6828.0
19/10/2025,DIGITAL GOLD PURCHASE,1200.0,0.0,5628.0
22/10/2025,MYNTRA,1685.0,0.0,3943.0
25/10/2025,MYNTRA,1237.0,0.0,2706.0
26/10/2025,AMAZON PRIME,299.0,0.0,2407.0
26/10/2025,ATM CASH WITHDRAWAL,3576.0,0.0,-1169.0
26/10/2025,URBANCLAP,1133.0,0.0,-2302.0
27/10/2025,FLIPKART,2238.0,0.0,-4540.0
27/10/2025,MEDPLUS,331.0,0.0,-4871.0
28/10/2025,AMAZON PAY,1911.0,0.0,-6782.0
29/10/2025,FLIPKART,2635.0,0.0,-9417.0
30/10/2025,AMAZON PAY,941.0,0.0,-10358.0
01/11/2025,MEDPLUS,861.0,0.0,-11219.0
02/11/2025,FLIPKART,2970.0,0.0,-14189.0
03/11/2025,IMPS FROM HDFC LIFE,0.0,12000.0,-2189.0
04/11/2025,MYNTRA,1148.0,0.0,-3337.0
05/11/2025,AJIO,738.0,0.0,-4075.0
05/11/2025,APOLLO PHARMACY,521.0,0.0,-4596.0
07/11/2025,URBANCLAP,1262.0,0.0,-5858.0
10/11/2025,FLIPKART,2647.0,0.0,-8505.0
11/11/2025,GROWW SIP EQUITY,5000.0,0.0,-13505.0
13/11/2025,MEDPLUS,326.0,0.0,-13831.0
15/11/2025,FLIPKART,1852.0,0.0,-15683.0
19/11/2025,DIGITAL GOLD PURCHASE,1200.0,0.0,-16883.0
19/11/2025,FLIPKART,453.0,0.0,-17336.0
21/11/2025,AJIO,3432.0,0.0,-20768.0
22/11/2025,ATM CASH WITHDRAWAL,1690.0,0.0,-22458.0
24/11/2025,AMAZON PAY,3439.0,0.0,-25897.0
25/11/2025,APOLLO PHARMACY,370.0,0.0,-26267.0
26/11/2025,AMAZON PRIME,299.0,0.0,-26566.0
27/11/2025,APOLLO PHARMACY,1063.0,0.0,-27629.0
28/11/2025,FLIPKART,3563.0,0.0,-31192.0
29/11/2025,ATM CASH WITHDRAWAL,2636.0,0.0,-33828.0
30/11/2025,AMAZON PAY,836.0,0.0,-34664.0
30/11/2025,ATM CASH WITHDRAWAL,1197.0,0.0,-35861.0
03/12/2025,AJIO,1153.0,0.0,-37014.0
03/12/2025,IMPS FROM HDFC LIFE,0.0,12000.0,-25014.0
05/12/2025,MEDPLUS,1492.0,0.0,-26506.0
08/12/2025,AJIO,2642.0,0.0,-29148.0
09/12/2025,FLIPKART,3125.0,0.0,-32273.0
11/12/2025,GROWW SIP EQUITY,5000.0,0.0,-37273.0
16/12/2025,AJIO,686.0,0.0,-37959.0
16/12/2025,MEDPLUS,723.0,0.0,-38682.0
18/12/2025,AMAZON PAY,3064.0,0.0,-41746.0
19/12/2025,DIGITAL GOLD PURCHASE,1200.0,0.0,-42946.0
19/12/2025,MYNTRA,2212.0,0.0,-45158.0
20/12/2025,ATM CASH WITHDRAWAL,3393.0,0.0,-48551.0
22/12/2025,MEDPLUS,309.0,0.0,-48860.0
24/12/2025,FLIPKART,2940.0,0.0,-51800.0
26/12/2025,AMAZON PRIME,299.0,0.0,-52099.0
26/12/2025,MYNTRA,3085.0,0.0,-55184.0
28/12/2025,MYNTRA,987.0,0.0,-56171.0
31/12/2025,AJIO,2440.0,0.0,-58611.0
01/01/2026,MEDPLUS,1506.0,0.0,-60117.0
03/01/2026,IMPS FROM HDFC LIFE,0.0,12000.0,-48117.0
04/01/2026,ATM CASH WITHDRAWAL,3584.0,0.0,-51701.0
06/01/2026,AJIO,2897.0,0.0,-54598.0
06/01/2026,URBANCLAP,1707.0,0.0,-56305.0
08/01/2026,MYNTRA,2549.0,0.0,-58854.0
09/01/2026,URBANCLAP,1150.0,0.0,-60004.0
10/01/2026,ATM CASH WITHDRAWAL,2116.0,0.0,-62120.0
11/01/2026,FLIPKART,1602.0,0.0,-63722.0
11/01/2026,GROWW SIP EQUITY,5000.0,0.0,-68722.0
11/01/2026,MEDPLUS,1718.0,0.0,-70440.0
13/01/2026,MYNTRA,2633.0,0.0,-73073.0
15/01/2026,APOLLO PHARMACY,1078.0,0.0,-74151.0
