Date,Narration,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/10/2025,SALARY CREDIT ACME TECH,0.0,98000.0,140000.0
02/10/2025,IMPS TO SBI HOME,18000.0,0.0,122000.0
03/10/2025,BLINKIT MART,1077.0,0.0,120923.0
03/10/2025,IMPS TO ICICI LIFE,12000.0,0.0,108923.0
04/10/2025,FASTAG RECHARGE,381.0,0.0,108542.0
05/10/2025,HOUSE RENT TRANSFER,22000.0,0.0,86542.0
06/10/2025,ZOMATO,389.0,0.0,86153.0
07/10/2025,STARBUCKS INDIA,941.0,0.0,85212.0
08/10/2025,HDFC BANK EMI,6500.0,0.0,78712.0
10/10/2025,UBER TRIP,390.0,0.0,78322.0
11/10/2025,BLINKIT MART,321.0,0.0,78001.0
12/10/2025,NETFLIX INDIA,649.0,0.0,77352.0
13/10/2025,FASTAG RECHARGE,395.0,0.0,76957.0
13/10/2025,SPOTIFY PREMIUM,119.0,0.0,76838.0
13/10/2025,STARBUCKS INDIA,354.0,0.0,76484.0
14/10/2025,BLINKIT MART,796.0,0.0,75688.0
16/10/2025,STARBUCKS INDIA,945.0,0.0,74743.0
17/10/2025,STARBUCKS INDIA,445.0,0.0,74298.0
18/10/2025,FASTAG RECHARGE,576.0,0.0,73722.0
18/10/2025,STARBUCKS INDIA,363.0,0.0,73359.0
20/10/2025,SWIGGY,308.0,0.0,73051.0
20/10/2025,UBER TRIP,507.0,0.0,72544.0
21/10/2025,GOOGLE ONE,130.0,0.0,72414.0
21/10/2025,STARBUCKS INDIA,700.0,0.0,71714.0
22/10/2025,BLINKIT MART,689.0,0.0,71025.0
23/10/2025,BLINKIT MART,208.0,0.0,70817.0
24/10/2025,ZOMATO,555.0,0.0,70262.0
25/10/2025,STARBUCKS INDIA,233.0,0.0,70029.0
28/10/2025,UBER TRIP,133.0,0.0,69896.0
29/10/2025,STARBUCKS INDIA,844.0,0.0,69052.0
30/10/2025,STARBUCKS INDIA,640.0,0.0,68412.0
30/10/2025,UBER TRIP,523.0,0.0,67889.0
31/10/2025,SWIGGY,530.0,0.0,67359.0
01/11/2025,BLINKIT MART,512.0,0.0,66847.0
01/11/2025,SALARY CREDIT ACME TECH,0.0,98000.0,164847.0
01/11/2025,UBER TRIP,188.0,0.0,164659.0
02/11/2025,IMPS TO SBI HOME,18000.0,0.0,146659.0
03/11/2025,IMPS TO ICICI LIFE,12000.0,0.0,134659.0
05/11/2025,HOUSE RENT TRANSFER,22000.0,0.0,112659.0
05/11/2025,SWIGGY,268.0,0.0,112391.0
06/11/2025,BLINKIT MART,366.0,0.0,112025.0
07/11/2025,BLINKIT MART,342.0,0.0,111683.0
08/11/2025,HDFC BANK EMI,6500.0,0.0,105183.0
09/11/2025,ATM CASH WITHDRAWAL,3151.0,0.0,102032.0
09/11/2025,SWIGGY,717.0,0.0,101315.0
10/11/2025,ZOMATO,345.0,0.0,100970.0
11/11/2025,ZOMATO,803.0,0.0,100167.0
12/11/2025,NETFLIX INDIA,649.0,0.0,99518.0
12/11/2025,SWIGGY,455.0,0.0,99063.0
13/11/2025,SPOTIFY PREMIUM,119.0,0.0,98944.0
13/11/2025,STARBUCKS INDIA,743.0,0.0,98201.0
13/11/2025,UBER TRIP,207.0,0.0,97994.0
14/11/2025,FASTAG RECHARGE,279.0,0.0,97715.0
14/11/2025,STARBUCKS INDIA,609.0,0.0,97106.0
15/11/2025,ZOMATO,585.0,0.0,96521.0
16/11/2025,STARBUCKS INDIA,1057.0,0.0,95464.0
17/11/2025,ZOMATO,514.0,0.0,94950.0
18/11/2025,STARBUCKS INDIA,458.0,0.0,94492.0
18/11/2025,UBER TRIP,506.0,0.0,93986.0
19/11/2025,BLINKIT MART,404.0,0.0,93582.0
20/11/2025,UBER TRIP,476.0,0.0,93106.0
