Txn Date,Description,Debit,Credit,Balance
02/10/2023,OPENING BALANCE,0,15000.0,15000.0
10/10/2023,BIGBASKET GROCERY,4500.0,0,10500.0
15/10/2023,BESCOM BILL,2200.0,0,8300.0
05/11/2023,RELIANCE FRESH,5800.0,0,2500.0
12/11/2023,AIRTEL BROADBAND,1500.0,0,1000.0
18/11/2023,ATM CASH WITHDRAWAL,2000.0,0,-1000.0
02/12/2023,TRANSFER FROM SELF,0,10000.0,9000.0
10/12/2023,BIGBASKET,3500.0,0,5500.0
25/12/2023,DMART READY,4200.0,0,1300.0
05/01/2024,RELIANCE FRESH,3800.0,0,-2500.0
15/01/2024,TRANSFER FROM SELF,0,5000.0,2500.0
02/02/2024,BIGBASKET,4500.0,0,-2000.0
10/02/2024,RELIANCE FRESH,3200.0,0,-5200.0
01/03/2024,TRANSFER FROM SELF,0,15000.0,9800.0
12/03/2024,BIGBASKET,5600.0,0,4200.0
05/04/2024,RELIANCE FRESH,4800.0,0,-600.0
