date,bank,description,amount,bank_balance,category,type
2023-10-01,HDFC,SALARY CREDIT,70000.0,130000.0,Income,Income
2023-10-04,HDFC,HOUSE RENT,-25000.0,105000.0,Rent,Expense
2023-10-09,AXIS,CAR LOAN EMI,-12000.0,3000.0,EMI,Expense
2023-10-14,ICICI,HDFC LIFE PREMIUM,-8000.0,17000.0,Health,Expense
2023-10-19,AXIS,AIRTEL BILL,-1500.0,1500.0,Utilities,Expense
2023-10-21,ICICI,Amazon,-4500.0,12500.0,Shopping,Expense
2023-10-25,HDFC,Swiggy,-1200.0,103800.0,Food,Expense
2023-11-01,HDFC,SALARY CREDIT,70000.0,173800.0,Income,Income
2023-11-04,HDFC,HOUSE RENT,-25000.0,148800.0,Rent,Expense
2023-11-09,AXIS,CAR LOAN EMI,-12000.0,-10500.0,EMI,Expense
2023-11-14,ICICI,HDFC LIFE PREMIUM,-8000.0,4500.0,Health,Expense
2023-11-19,AXIS,AIRTEL BILL,-1500.0,-12000.0,Utilities,Expense
2023-11-25,ICICI,Flipkart,-5800.0,-1300.0,Shopping,Expense
2023-11-28,HDFC,Zomato,-950.0,147850.0,Food,Expense
2023-12-01,HDFC,SALARY CREDIT,70000.0,217850.0,Income,Income
2023-12-04,HDFC,HOUSE RENT,-25000.0,192850.0,Rent,Expense
2023-12-09,AXIS,CAR LOAN EMI,-12000.0,-24000.0,EMI,Expense
2023-12-14,ICICI,HDFC LIFE PREMIUM,-8000.0,-9300.0,Health,Expense
2023-12-19,AXIS,AIRTEL BILL,-1500.0,-25500.0,Utilities,Expense
2023-12-24,HDFC,Shopping Mall,-35000.0,157850.0,Shopping,Expense
2023-12-28,ICICI,Amazon,-9000.0,-18300.0,Shopping,Expense
2024-01-01,HDFC,SALARY CREDIT,70000.0,227850.0,Income,Income
2024-01-04,HDFC,HOUSE RENT,-25000.0,202850.0,Rent,Expense
2024-01-10,ICICI,Emergency Hospital Bill,-45000.0,-63300.0,Health,Expense
2024-01-15,AXIS,Uber,-800.0,-26300.0,Transport,Expense
2024-02-01,HDFC,SALARY CREDIT,70000.0,272850.0,Income,Income
2024-02-04,HDFC,HOUSE RENT,-25000.0,247850.0,Rent,Expense
2024-02-15,HDFC,Credit Card Payment,-60000.0,187850.0,EMI,Expense
2024-03-01,HDFC,SALARY CREDIT,70000.0,257850.0,Income,Income
2024-03-04,HDFC,HOUSE RENT,-25000.0,232850.0,Rent,Expense
2024-03-10,HDFC,Vacation Flight,-85000.0,147850.0,Transport,Expense
2024-04-01,HDFC,SALARY CREDIT,70000.0,217850.0,Income,Income
2024-04-04,HDFC,HOUSE RENT,-25000.0,192850.0,Rent,Expense
2024-04-10,HDFC,Dining out,-15000.0,177850.0,Food,Expense
2024-04-15,HDFC,Gadget Purchase,-110000.0,67850.0,Shopping,Expense
2024-04-20,HDFC,Misc Expenses,-25000.0,42850.0,Other,Expense
